corridor,pk_cum,X,Y,gml_id,cleabs,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,route,numero,abscisse,ordre,cote,statut,type_de_pr,libelle,identifiant_de_section,code_insee_du_departement,lien_vers_route_nommee,gestionnaire
a40,74.781,5.51468268,46.1310278,,POIN_REP0000002330655452,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,128,25152,25,D,PR valide,PR,01PR128DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,75.712,5.52444122,46.13594664,,POIN_REP0000002330655474,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,127,24152,24,D,PR valide,PR,01PR127DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,76.604,5.53583256,46.13731542,,POIN_REP0000002330655446,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,126,23152,23,D,PR valide,PR,01PR126DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,77.615,5.54611937,46.13168129,,POIN_REP0000002330655587,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,125,22152,22,D,PR valide,PR,01PR125DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,78.600,5.55785509,46.12821008,,POIN_REP0000002330655503,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,124,21152,21,D,PR valide,PR,01PR124DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,79.542,5.5700523,46.12784542,,POIN_REP0000002330655496,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,123,20152,20,D,PR valide,PR,01PR123DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,80.505,5.58253479,46.12773513,,POIN_REP0000002330655585,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,122,19152,19,D,PR valide,PR,01PR122DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,81.576,5.59564505,46.13089768,,POIN_REP0000002330655388,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,121,18152,18,D,PR valide,PR,01PR121DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,82.581,5.60536741,46.13691516,,POIN_REP0000002330655393,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,120,17152,17,D,PR valide,PR,01PR120DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,83.582,5.61589675,46.14216905,,POIN_REP0000002330655440,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,119,16152,16,D,PR valide,PR,01PR119DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
