corridor,route,pk,lat,lon,speed_kmh,source
a406,A406,6.07410,46.286941,4.874424,125,trace
a406,A406,6.12407,46.287112,4.875025,125,trace
a406,A406,6.17408,46.287274,4.875631,124,trace
a406,A406,6.22409,46.287425,4.876243,125,trace
a406,A406,6.27407,46.287565,4.876861,125,trace
a406,A406,6.32401,46.287697,4.877482,125,trace
a406,A406,6.37389,46.287821,4.878107,125,trace
a406,A406,6.42373,46.287940,4.878734,125,trace
a406,A406,6.47357,46.288059,4.879360,125,trace
a406,A406,6.52341,46.288179,4.879986,125,trace
a406,A406,6.57328,46.288301,4.880612,125,trace
a406,A406,6.62321,46.288431,4.881234,125,trace
a406,A406,6.67318,46.288570,4.881852,125,trace
a406,A406,6.72319,46.288718,4.882466,125,trace
a406,A406,6.77321,46.288874,4.883075,125,trace
a406,A406,6.82296,46.289048,4.883675,125,trace
a406,A406,6.87253,46.289231,4.884268,125,trace
a406,A406,6.92191,46.289422,4.884856,124,trace
a406,A406,6.97157,46.289631,4.885432,125,trace
a406,A406,7.02133,46.289847,4.886002,125,trace
a406,A406,7.07117,46.290071,4.886565,125,trace
a406,A406,7.12111,46.290309,4.887116,125,trace
a406,A406,7.17107,46.290560,4.887655,125,trace
a406,A406,7.22103,46.290818,4.888187,124,trace
